,smiles,solvent,logsol,SP,SdP,SA,SB
3519,CC(C)Oc1ccc2c(=O)c(-c3ccccc3)coc2c1,CO,-5.74594912281809,0.608,0.904,0.605,0.545
34409,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1.Cc1ccc(S(=O)(=O)O)cc1,CC(C)CO,-8.812235618274311,0.657,0.684,0.311,0.828
33665,Cc1c(N)cccc1C(=O)O,CC(C)CO,-5.975591197951692,0.657,0.684,0.311,0.828
14243,O=C(O)C=CC(=O)O.OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1.OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1,CCCCO,-7.596910438272545,0.674,0.655,0.341,0.809
11617,CCOC(=O)c1ccc(N)cc1,CCCO,-2.2926347621408776,0.658,0.748,0.367,0.782
39385,COc1cc([N+](=O)[O-])ccc1N,O,-10.982297213908058,0.681,0.997,1.062,0.025
39135,O=C(O)[C@@H]1CSCN1,O,-5.29452456830934,0.681,0.997,1.062,0.025
2297,Nc1cc(N2CCCCC2)nc(N)[n+]1[O-],CO,-4.482952553263842,0.608,0.904,0.605,0.545
36582,COc1c(N2CCNC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,CCC(C)=O,-5.509532346996973,0.669,0.872,0.0,0.52
23899,OC[C@H]1O[C@@H](Oc2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O,ClCCl,-11.042921835724492,0.761,0.769,0.04,0.178
49180,O=C(O)c1ccc(CO)cc1,CCOC=O,-5.44681737486648,0.648,0.707,0.0,0.477
40867,COc1cc(C(=O)O)cc(OC)c1O,O,-7.344772975603408,0.681,0.997,1.062,0.025
47009,CSCCC(NC(C)=O)C(=O)O,COC(C)=O,-4.779523573132869,0.645,0.637,0.0,0.527
36264,CC(=O)Oc1ccccc1C(=O)Nc1ncc([N+](=O)[O-])s1,CCC(C)=O,-4.149011963564409,0.669,0.872,0.0,0.52
27560,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1.Cl,CC(C)O,-4.743168684145382,0.633,0.808,0.283,0.83
30991,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,CC(C)O,-6.600270579234176,0.633,0.808,0.283,0.83
7676,CN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2)CC1,CCO,-2.7551418086360604,0.633,0.783,0.4,0.658
36471,COC(=O)c1ccc(C(=O)OC)cc1,CCC(C)=O,-3.7786116200041993,0.669,0.872,0.0,0.52
17008,CCCc1ncc(C[n+]2ccccc2C)c(N)n1.Cl.[Cl-],CC(C)=O,-7.719235646503947,0.651,0.907,0.0,0.475
39252,O=C(N[C@H](C(=O)O)c1ccccc1)OCc1ccccc1,O,-10.008848068193954,0.681,0.997,1.062,0.025
8821,Nc1nc2ccc(OC(F)(F)F)cc2s1,CCO,-1.4426954147706603,0.633,0.783,0.4,0.658
12656,CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C,CCCO,-6.980325971816972,0.658,0.748,0.367,0.782
17716,COc1ccc(C(=O)N2CCCC2=O)cc1,CC(C)=O,-2.7711497580455267,0.651,0.907,0.0,0.475
27578,O=C(O)Cc1ccccc1[N+](=O)[O-],CC(C)O,-3.4992513221375434,0.633,0.808,0.283,0.83
25548,CC(=O)c1cccc([N+](=O)[O-])c1,CC#N,-1.4567168254164364,0.645,0.974,0.044,0.286
26344,CN1COCN(Cc2cnc(Cl)s2)C1=N[N+](=O)[O-],CC#N,-3.998670812153818,0.645,0.974,0.044,0.286
21060,N#CCc1ccccc1[N+](=O)[O-],CCOC(C)=O,-1.5173146235582946,0.656,0.603,0.0,0.542
11583,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,CCCO,-6.593674732675825,0.658,0.748,0.367,0.782
8840,CC(=O)Nc1ccc(C(=O)O)cc1,CCO,-4.6877912146764285,0.633,0.783,0.4,0.658
48554,CC(=O)c1ccc(S(C)(=O)=O)cc1,CCCCCC,-4.615220521841593,0.616,0.0,0.0,0.056
23000,CN(C)c1ccc(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O.Cl,CCOC(C)=O,-10.86060027893054,0.656,0.603,0.0,0.542
30647,Cc1ccc(C(C)C)c(O)c1,CC(C)O,-0.3802360540623888,0.633,0.808,0.283,0.83
48724,CC(C)c1ccc(NC2=NCCC3(CCCCC3)S2)cc1,CCCCCC,-7.206161314796893,0.616,0.0,0.0,0.056
34074,CN(C)[C@@H]1C(=O)C(C(N)=O)=C(O)[C@@]2(O)C(=O)C3=C(O)c4c(O)cccc4C[C@H]3C[C@@H]12,CC(C)CO,-9.54288035006979,0.657,0.684,0.311,0.828
46487,COc1ccc(P(=O)(c2ccc(OC)cc2)c2ccc(OC)cc2)cc1,CCOCC,-4.438808648772866,0.617,0.385,0.0,0.562
18769,CC(=O)OCC(=O)[C@@]12N=C(C)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]12C,CC(C)=O,-4.931728924117608,0.651,0.907,0.0,0.475
36462,OC[C@H]1O[C@@H](Oc2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O,CCC(C)=O,-8.122452046671048,0.669,0.872,0.0,0.52
9718,Nc1nc(N)nc(NC2CC2)n1,CCO,-6.362528228498814,0.633,0.783,0.4,0.658
28334,NNC(=O)c1ccncc1,CC(C)O,-5.396371307023425,0.633,0.808,0.283,0.83
17697,CC(=O)c1cccc([N+](=O)[O-])c1,CC(C)=O,-1.3329431856228962,0.651,0.907,0.0,0.475
2806,CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nnn[n-]2)cc1.[K+],CO,-3.2844815819661948,0.608,0.904,0.605,0.545
27603,Oc1ccc(OCc2ccccc2)cc1,CC(C)O,-2.609517945037964,0.633,0.808,0.283,0.83
4493,CC(=O)Nc1ccc(OC(=O)c2ccccc2OC(C)=O)cc1,CCO,-7.62930193406378,0.633,0.783,0.4,0.658
19944,CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=C(CSc4nnnn4C)CS[C@H]23)c2ccc(O)cc2)C(=O)C1=O,CC(C)=O,-5.271675435601615,0.651,0.907,0.0,0.475
25398,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)O.O=C(O)/C=C\C(=O)O,CC#N,-6.479876576037072,0.645,0.974,0.044,0.286
47636,Cc1cc(C)c(C(=O)P(=O)(c2ccccc2)c2ccccc2)c(C)c1,COC(C)=O,-1.681471115333932,0.645,0.637,0.0,0.527
28142,Cc1cccc(C(=O)O)c1N,CC(C)O,-3.677741709703481,0.633,0.808,0.283,0.83
6419,COc1cc(C(=O)O)ccc1O,CCO,-3.259697819388456,0.633,0.783,0.4,0.658
3540,Cn1c(=O)c2c(ncn2CC2OCCO2)n(C)c1=O,CO,-5.308367702401538,0.608,0.904,0.605,0.545
27401,CC(C)(C)OC(=O)N1CCC[C@H]1C(=O)O,CC(C)O,-2.0120072174302392,0.633,0.808,0.283,0.83
42752,O=C(O)C=CC(=O)O.OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1.OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1,CN(C)C=O,-5.119334711019596,0.759,0.977,0.031,0.613
10118,CC(=O)Nc1ccccc1[N+](=O)[O-],CCCO,-3.559255686320431,0.658,0.748,0.367,0.782
48830,COC(=O)/C=C/c1ccc(O)cc1,CCCCCC,-10.479740981624571,0.616,0.0,0.0,0.056
1469,COc1ccc(CN2CCNCC2)c(OC)c1OC.Cl,CO,-4.987749190309555,0.608,0.904,0.605,0.545
26190,Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,CC#N,-7.491151595582963,0.645,0.974,0.044,0.286
9497,CN(C)CCOC(c1ccccc1)c1ccccc1.Cl,CCO,-2.558768498386456,0.633,0.783,0.4,0.658
4841,O=C(N[C@H](C(=O)O)c1ccccc1)OCc1ccccc1,CCO,-2.844918583861728,0.633,0.783,0.4,0.658
11605,O=C(O)/C=C/c1ccc(O)cc1,CCCO,-3.1488834530481657,0.658,0.748,0.367,0.782
20992,CN(C)/C=C/C(=O)c1cccnc1,CCOC(C)=O,-3.911523130386495,0.656,0.603,0.0,0.542
23085,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,CCOC(C)=O,-8.170063660321036,0.656,0.603,0.0,0.542
35507,O=C(Nc1ccccc1)c1ccccc1,C1CCOC1,-2.9552239282164985,0.714,0.634,0.0,0.591
25783,O=P(NCc1ccccc1)(Oc1ccccc1)Oc1ccccc1,CC#N,-3.6343912688298654,0.645,0.974,0.044,0.286
14877,Cc1ccc(S(=O)(=O)O)cc1.Cc1ccc(S(=O)(=O)O)cc1.OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1,CCCCO,-7.902007552326004,0.674,0.655,0.341,0.809
14843,O=C(c1ccccc1)c1ccccc1,CCCCO,-1.039023497256452,0.674,0.655,0.341,0.809
15222,COc1ccc([C@@H]2CC(=O)c3c(O)cc(O[C@@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4O)cc3O2)cc1O,CCCCO,-7.932188169475995,0.674,0.655,0.341,0.809
45128,Cc1c(C(N)=O)cc([N+](=O)[O-])cc1[N+](=O)[O-],OCCO,-5.348348300153602,0.777,0.91,0.717,0.534
24590,CNC(=O)c1cc(Oc2ccc(N)cc2)ccn1,CC#N,-2.607888174203229,0.645,0.974,0.044,0.286
16524,O=C1CC[C@@H](C(=O)N2CSC[C@H]2C(=O)O)N1,CC(C)=O,-8.298057661499566,0.651,0.907,0.0,0.475
39171,Nc1cccc(Cl)c1C(=O)O,O,-6.574144274641956,0.681,0.997,1.062,0.025
3621,N[C@H](Cc1c[nH]c2ccccc12)C(=O)O,CO,-7.934419068337663,0.608,0.904,0.605,0.545
34495,COc1ccc(C(=O)O)c(OC)c1,CC(C)CO,-4.275866438845491,0.657,0.684,0.311,0.828
32288,CC[C@@H](C(N)=O)N1CCCC1=O,Cc1ccccc1,-5.538098559015269,0.782,0.284,0.0,0.128
49171,O=C(O)COc1ccc(Cl)cc1,CCOC=O,-3.671432540510216,0.648,0.707,0.0,0.477
9662,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12.Cl,CCO,-6.757698682775458,0.633,0.783,0.4,0.658
21639,CO[C@@]1(NC(=O)CSCC#N)C(=O)N2C(C(=O)[O-])=C(CSc3nnnn3C)CS[C@@H]21.[Na+],CCOC(C)=O,-8.89552963213615,0.656,0.603,0.0,0.542
22125,CCNc1nc(Cl)nc(NC(C)C)n1,CCOC(C)=O,-4.241221758082861,0.656,0.603,0.0,0.542
32922,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C2=C(C)C(=O)CCC2(C)C)C(C)(C)CCC1=O,Cc1ccccc1,-8.831903936255937,0.782,0.284,0.0,0.128
43881,COc1cc(Cl)nc(N)n1,CN(C)C=O,-2.469939222666214,0.759,0.977,0.031,0.613
18545,Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1,CC(C)=O,-9.29666107844271,0.651,0.907,0.0,0.475
27270,NC(=O)[C@@H]1CCCN1,CC(C)O,-1.8788872166248216,0.633,0.808,0.283,0.83
161,c1ccc(-n2c(-c3cc(-c4nc5ccccc5n4-c4ccccc4)cc(-c4nc5ccccc5n4-c4ccccc4)c3)nc3ccccc32)cc1,CO,-8.145629634983754,0.608,0.904,0.605,0.545
41476,COC(=O)Nc1nc2ccc(Sc3ccccc3)cc2[nH]1,O,-11.61495819053538,0.681,0.997,1.062,0.025
43974,Nc1ccc(Oc2ccc(N)cc2)cc1,CN(C)C=O,-2.122073506541949,0.759,0.977,0.031,0.613
43872,CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,CN(C)C=O,-2.299589584014248,0.759,0.977,0.031,0.613
6413,C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CCC(=O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,CCO,-5.088056441064841,0.633,0.783,0.4,0.658
48398,Oc1ccc(OCc2ccccc2)cc1,CCCCCC,-6.434008663457568,0.616,0.0,0.0,0.056
36084,CCCCC1=NC2(CCCC2)C(=O)N1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,C1CCOC1,-5.708996041709089,0.714,0.634,0.0,0.591
11467,O=C(c1ccccc1)c1ccccc1,CCCO,-1.160913314865489,0.658,0.748,0.367,0.782
45286,CN(C)Cc1c[nH]c2ccccc12,C1CCCCC1,-7.217819302327048,0.683,0.0,0.0,0.073
11398,Cc1cc(C)nc(Nc2ccccc2)n1,CCCO,-3.296567132584072,0.658,0.748,0.367,0.782
15174,C[C@@H]1O[C@@H](O[C@H]2[C@H](Oc3cc(O)c4c(c3)O[C@H](c3ccc(O)cc3)CC4=O)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,CCCCO,-9.157653049697176,0.674,0.655,0.341,0.809
14365,Cc1c(C(=O)O)cc([N+](=O)[O-])cc1[N+](=O)[O-],CCCCO,-4.0257517707564885,0.674,0.655,0.341,0.809
38225,CN(C)/C=C/C(=O)c1cccnc1,C1COCCO1,-3.153088084330198,0.737,0.312,0.0,0.444
17392,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)[O-])=C(SC3Cn4cnc[n+]4C3)[C@H](C)[C@H]12,CC(C)=O,-12.02859614039942,0.651,0.907,0.0,0.475
32373,COc1ccc(CN2CCNCC2)c(OC)c1OC.Cl,Cc1ccccc1,-13.367624733972155,0.782,0.284,0.0,0.128
34294,Cc1cc(C)nc(Nc2ccccc2)n1,CC(C)CO,-3.366795954944823,0.657,0.684,0.311,0.828
34921,COc1cc2c(cc1OC)C(=O)CC2,CCCCCO,-3.2556176130963093,0.687,0.587,0.319,0.86
39724,NNC(=O)c1ccncc1,O,-3.72920157359254,0.681,0.997,1.062,0.025
31557,CCCSc1nc(N[C@@H]2C[C@H]2c2ccc(F)c(F)c2)c2nnn([C@@H]3C[C@H](OCCO)[C@@H](O)[C@H]3O)c2n1,O=C1CCCCC1,-2.717191859019493,0.766,0.745,0.0,0.482
27173,CSCCC(NC(C)=O)C(=O)O,CC(C)O,-2.717949033281457,0.633,0.808,0.283,0.83
42563,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)[C@@H]5C[C@@H]5[C@]4(C)[C@H]3CC[C@@]21C,CN(C)C=O,-7.722911913936944,0.759,0.977,0.031,0.613
16394,Cc1cc(C)c(C(=O)P(=O)(c2ccccc2)c2ccccc2)c(C)c1,CCCCO,-1.443923473956527,0.674,0.655,0.341,0.809
4574,Cc1c(N)cccc1C(=O)O,CCO,-5.070703820562375,0.633,0.783,0.4,0.658
3549,O=c1[nH]c(=O)n(C2CCCO2)cc1F,CO,-4.683239841410014,0.608,0.904,0.605,0.545
24633,O=C(O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,CC#N,-3.698929789967438,0.645,0.974,0.044,0.286
20237,O=C(O)c1cccc(O)c1O,CCOC(C)=O,-2.7918123172075404,0.656,0.603,0.0,0.542
41794,CC(=O)Nc1ccc(OC(=O)c2ccccc2OC(C)=O)cc1,O,-12.567042513751788,0.681,0.997,1.062,0.025
35243,CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1,CCCCCO,-4.071018736918604,0.687,0.587,0.319,0.86
13956,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1.Cl,CCCCO,-4.282362311560936,0.674,0.655,0.341,0.809
3067,CCCCS(=O)(=O)N[C@@H](Cc1ccc(OCCCCC2CCNCC2)cc1)C(=O)O,CO,-7.250386442918934,0.608,0.904,0.605,0.545
42134,COc1cc(O)c2c(c1)oc(=O)c1c3cc(O)c(O)cc3oc21,O,-6.044890640611261,0.681,0.997,1.062,0.025
20306,COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,CCOC(C)=O,-5.829345697631547,0.656,0.603,0.0,0.542
24878,CCCc1ncc(C[n+]2ccccc2C)c(N)n1.Cl.[Cl-],CC#N,-10.65851013681416,0.645,0.974,0.044,0.286
12389,CC1=NN(c2ccccc2)C(=O)C1,CCCO,-3.236276339548368,0.658,0.748,0.367,0.782
17744,O=C(c1ccccc1)c1ccccc1,CC(C)=O,-0.5766093643119938,0.651,0.907,0.0,0.475
21499,COc1ccc(C(=O)N2CCCC2=O)cc1,CCOC(C)=O,-3.258396583030484,0.656,0.603,0.0,0.542
9700,O=C(/C=C/C=C/c1ccc2c(c1)OCO2)N1CCCCC1,CCO,-4.63976163075771,0.633,0.783,0.4,0.658
47090,CCOC(=O)[C@@H]1CSCN1.Cl,COC(C)=O,-8.979228651012797,0.645,0.637,0.0,0.527
43320,NC[C@H]1O[C@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H]2O)[C@H](N)C[C@@H]1O,CN(C)C=O,-8.296051642772701,0.759,0.977,0.031,0.613
34415,O=C(O)/C=C/c1ccc(O)cc1,CC(C)CO,-3.665162927496621,0.657,0.684,0.311,0.828
37497,C=CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\OCC(=O)O)c3csc(N)n3)[C@H]2SC1.O.O.O,CCC(C)O,-6.358478468841894,0.656,0.706,0.221,0.888
9112,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1.O=[N+]([O-])O,CCO,-6.48052867909246,0.633,0.783,0.4,0.658
32317,COCC(=O)Nc1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)N(C)CC(O)CO)c1I,Cc1ccccc1,-10.988196936035246,0.782,0.284,0.0,0.128
17967,CC(C)(C)c1cc(O)c(C(C)(C)C)cc1O,CC(C)=O,-2.556832389359589,0.651,0.907,0.0,0.475
48035,O=C1CC[C@@H](C(=O)N2CSC[C@H]2C(=O)O)N1,OCc1ccccc1,-5.19847203157832,0.861,0.788,0.409,0.461
43640,CCCc1cc(=O)[nH]c(=S)[nH]1,CN(C)C=O,-1.7170231231140378,0.759,0.977,0.031,0.613
2386,C[C@@H]1[C@H]2C3=CC[C@@H]4[C@@]5(C)C[C@@H](O)[C@H](O)[C@@](C)(CO)[C@@H]5CC[C@@]4(C)[C@]3(C)CC[C@@]2(C(=O)O[C@@H]2O[C@H](CO[C@@H]3O[C@H](CO)[C@@H](O[C@@H]4O[C@@H](C)[C@H](O)[C@@H](O)[C@H]4O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)CC[C@H]1C,CO,-6.708166987289465,0.608,0.904,0.605,0.545
37398,CN(C)Cc1c[nH]c2ccccc12,CCC(C)O,-6.5385393035490935,0.656,0.706,0.221,0.888
37462,Cc1ccc(S(=O)(=O)O)cc1.Cc1ccc(S(=O)(=O)O)cc1.OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1,CCC(C)O,-8.37309284744248,0.656,0.706,0.221,0.888
25244,NC(=O)c1ccc([N+](=O)[O-])cc1,CC#N,-6.470145717547405,0.645,0.974,0.044,0.286
39833,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O.[Na],O,-2.626931149817418,0.681,0.997,1.062,0.025
11377,COc1ccc(CN2CCNCC2)c(OC)c1OC.Cl,CCCO,-7.912057888179505,0.658,0.748,0.367,0.782
42552,NC(=O)[C@@H]1CCCN1,CN(C)C=O,-1.85796337635136,0.759,0.977,0.031,0.613
7574,Nc1cc(N)cc(C(=O)O)c1,CCO,-5.678407168324973,0.633,0.783,0.4,0.658
3415,S=C(Nc1ccccc1)Nc1ccccc1,CO,-5.596453896903676,0.608,0.904,0.605,0.545
27764,NC(N)=NC(N)=NCCc1ccccc1,CC(C)O,-6.17490673157064,0.633,0.808,0.283,0.83
35311,CCCCN(CCCC)CC(O)c1cc(Cl)cc2c1-c1ccc(Cl)cc1/C2=C/c1ccc(Cl)cc1,CCCCCO,-6.939762075117224,0.687,0.587,0.319,0.86
23842,CSCCC(NC(C)=O)C(=O)O,ClCCl,-7.5616817463888015,0.761,0.769,0.04,0.178
42891,CCOC(=O)[C@@H](C)Oc1ccc(Oc2cnc3cc(Cl)ccc3n2)cc1,CN(C)C=O,-3.7368099878714864,0.759,0.977,0.031,0.613
25176,N[C@@H](Cc1ccc(O)cc1)C(=O)O,CC#N,-11.77247369817824,0.645,0.974,0.044,0.286
24204,CC1(C)CO[P+]([O-])(Oc2c(Br)cc(Br)cc2Br)OC1,ClCCl,-2.729222766335011,0.761,0.769,0.04,0.178
16633,O=C(O)c1cccc(O)c1O,CC(C)=O,-2.183913563276547,0.651,0.907,0.0,0.475
13868,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,CCCCO,-1.9051521565831453,0.674,0.655,0.341,0.809
42351,S=C(Nc1ccccc1)Nc1ccccc1,CCCOC(C)=O,-4.265844880384472,0.67,0.559,0.0,0.548
10420,OCc1ccccc1O[C@@H]1OC(CO)[C@@H](O)[C@@H](O)C1O,CCCO,-7.905174724687766,0.658,0.748,0.367,0.782
19876,CNC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.Cc1c(Nc2ncccc2C(=O)O)cccc1C(F)(F)F,CC(C)=O,-6.1404287002479405,0.651,0.907,0.0,0.475
21590,CO/C=C(/C(=O)OC)c1ccccc1Oc1cc(Oc2ccccc2C#N)ncn1,CCOC(C)=O,-3.183002052631996,0.656,0.603,0.0,0.542
21276,O=C(O)c1cc2ccccc2cc1O,CCOC(C)=O,-3.581281443515918,0.656,0.603,0.0,0.542
47969,COC(=O)[C@H](N)c1ccc(O)cc1,CCCCOC(C)=O,-8.36490138107398,0.674,0.535,0.0,0.525
36911,c1ccc(-c2nnn[nH]2)cc1,CCC(C)=O,-3.8171674744154673,0.669,0.872,0.0,0.52
3184,c1ccc(-c2ccc(C(c3ccccc3)n3ccnc3)cc2)cc1,CO,-4.77500996527999,0.608,0.904,0.605,0.545
24755,COC(=O)C1=C(C)NC(C)=C(C(=O)OCC(C)C)C1c1ccccc1[N+](=O)[O-],CC#N,-3.927644386331103,0.645,0.974,0.044,0.286
30035,C[C@@H]1CC[C@H]2[C@@H](C)[C@H](OC(=O)CCC(=O)O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@]23OO4,CC(C)O,-5.100778843949222,0.633,0.808,0.283,0.83
21839,CN1C(C(=O)Nc2ccccn2)=C(O)c2sccc2S1(=O)=O,CCOC(C)=O,-7.200784957760513,0.656,0.603,0.0,0.542
37842,OCC(O)COc1ccc(Cl)cc1,C1COCCO1,-1.526476391719753,0.737,0.312,0.0,0.444
28936,COC(=O)[C@H](c1ccccc1Cl)N1CCc2sccc2C1.O=S(=O)(O)O,CC(C)O,-3.265757810768331,0.633,0.808,0.283,0.83
4156,O=P([O-])([O-])OC[C@H]1O[C@@H](n2cnc3c(O)ncnc32)[C@H](O)[C@@H]1O.[Na+].[Na+],CO,-5.478880470327128,0.608,0.904,0.605,0.545
36146,Cc1c([N+](=O)[O-])c(C)c([N+](=O)[O-])c(C(C)(C)C)c1[N+](=O)[O-],C1CCOC1,-1.971125398196377,0.714,0.634,0.0,0.591
36366,CCOC(=O)[C@@H]1CSCN1.Cl,CCC(C)=O,-8.622553707074063,0.669,0.872,0.0,0.52
30736,C#CC(C)(C)NC(=O)c1cc(Cl)cc(Cl)c1,CC(C)O,-4.750195958038349,0.633,0.808,0.283,0.83
48453,c1cc(-n2c3ccccc3c3ccccc32)cc(-n2c3ccccc3c3ccccc32)c1,CCCCCC,-7.980699820901669,0.616,0.0,0.0,0.056
41989,O=P([O-])([O-])OC[C@H]1O[C@@H](n2cnc3c(O)ncnc32)[C@H](O)[C@@H]1O.[Na+].[Na+],O,-4.04042472023267,0.681,0.997,1.062,0.025
14132,OC[C@H]1O[C@@H](Oc2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O,CCCCO,-7.195970827040061,0.674,0.655,0.341,0.809
38952,Cc1cc(C(=O)O)ccc1[N+](=O)[O-],C1COCCO1,-2.813577397317135,0.737,0.312,0.0,0.444
47724,c1ccc2[nH]c(-c3cscn3)nc2c1,CCCCOC(C)=O,-7.034907064642621,0.674,0.535,0.0,0.525
34365,Cc1ccc(S(=O)(=O)O)cc1.Cc1ccc(S(=O)(=O)O)cc1.OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1,CC(C)CO,-7.772877724281892,0.657,0.684,0.311,0.828
83,O=C(Nc1ccccc1)c1ccccc1,CO,-5.152141256390435,0.608,0.904,0.605,0.545
30622,CC1=NN(c2ccc(C)cc2)C(=O)C1,CC(C)O,-3.570563227295894,0.633,0.808,0.283,0.83
46650,Nc1ccc(O)c(C(=O)O)c1,ClC(Cl)(Cl)Cl,-5.748675243546938,0.768,0.0,0.0,0.044
3194,N#CCc1ccc([N+](=O)[O-])cc1,CO,-4.969301430603278,0.608,0.904,0.605,0.545
31216,FC(F)(F)c1ccc(N=C2SCC3CCCN2C3)cc1,CCCCCCCCO,-4.226733750267846,0.713,0.454,0.299,0.923
14822,CS(=O)(=O)c1ccc([C@@H](O)[C@@H](CF)NC(=O)C(Cl)Cl)cc1,CCCCO,-6.572712635170519,0.674,0.655,0.341,0.809
27937,c1cc(-n2c3ccccc3c3ccccc32)cc(-n2c3ccccc3c3ccccc32)c1,CC(C)O,-9.574183805393528,0.633,0.808,0.283,0.83
40892,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,O,-8.745349284553992,0.681,0.997,1.062,0.025
45386,Cc1c(C(=O)O)cc([N+](=O)[O-])cc1[N+](=O)[O-],C1CCCCC1,-10.221491384874298,0.683,0.0,0.0,0.073
35379,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3c(-c4ccc(OCCO)c(OCCO)c4)oc4cc(OCCO)cc(O)c4c3=O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,CCCCCO,-8.932708635377903,0.687,0.587,0.319,0.86
37177,Cc1c(N)cccc1C(=O)O,CCC(C)O,-5.551662426595368,0.656,0.706,0.221,0.888
43071,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,CN(C)C=O,-1.677342091047973,0.759,0.977,0.031,0.613
8385,CC(C(=O)O)c1ccc2c(c1)CC(=O)c1ccccc1S2,CCO,-4.419520839101462,0.633,0.783,0.4,0.658
23076,COc1ccccc1N1CCN(CC(O)COc2cccc3ccccc23)CC1,CCOC(C)=O,-4.606871632627849,0.656,0.603,0.0,0.542
45664,CCCCCCCCN1C=CN(C)C1.O=[N+]([O-])O,C1CCCCC1,-6.853267093698067,0.683,0.0,0.0,0.073
